Year,Age group,Sex,Value
2022,45 to 49 years,Both sexes,5.2
2022,45 to 49 years,Males,8.2
2022,45 to 49 years,Females,2.3
2022,50 to 54 years,Both sexes,5.7
2022,50 to 54 years,Males,8.7
2022,50 to 54 years,Females,2.9
2022,55 to 59 years,Both sexes,6.2
2022,55 to 59 years,Males,10.0
2022,55 to 59 years,Females,2.3
2022,60 to 64 years,Both sexes,5.7
2022,60 to 64 years,Males,8.8
2022,60 to 64 years,Females,2.8
2022,65 to 69 years,Both sexes,5.3
2022,65 to 69 years,Males,7.0
2022,65 to 69 years,Females,3.7
2022,70 to 74 years,Both sexes,5.4
2022,70 to 74 years,Males,7.7
2022,70 to 74 years,Females,3.3
2022,75 to 79 years,Both sexes,8.1
2022,75 to 79 years,Males,11.0
2022,75 to 79 years,Females,5.5
2022,80 to 84 years,Both sexes,9.7
2022,80 to 84 years,Males,14.4
2022,80 to 84 years,Females,6.0
2022,85 to 89 years,Both sexes,9.5
2022,85 to 89 years,Males,10.8
2022,85 to 89 years,Females,8.6
2022,90 years and over,Both sexes,10.6
2022,90 years and over,Males,19.2
2022,90 years and over,Females,6.7
2022,Not stated,Both sexes,0.0
2022,Not stated,Males,0.0
2022,Not stated,Females,0.0
2023,All ages,Males,6.4
2023,All ages,Females,2.6
2023,Under 1 year,Both sexes,0.3
2023,Under 1 year,Males,0.6
2023,Under 1 year,Females,0.0
2023,1 to 4 years,Both sexes,0.7
2023,1 to 4 years,Males,0.3
2023,1 to 4 years,Females,1.1
2023,5 to 9 years,Both sexes,0.8
2023,5 to 9 years,Males,0.6
2023,5 to 9 years,Females,1.1
2023,10 to 14 years,Both sexes,1.0
2023,10 to 14 years,Males,1.6
2023,10 to 14 years,Females,0.4
2023,15 to 19 years,Both sexes,5.2
2023,15 to 19 years,Males,7.5
2023,15 to 19 years,Females,2.9
2023,20 to 24 years,Both sexes,5.1
2023,20 to 24 years,Males,7.7
2023,20 to 24 years,Females,2.3
2023,25 to 29 years,Both sexes,5.2
2023,25 to 29 years,Males,8.0
2023,25 to 29 years,Females,2.2
2023,30 to 34 years,Both sexes,5.1
2023,30 to 34 years,Males,6.5
2023,30 to 34 years,Females,3.7
2023,35 to 39 years,Both sexes,4.8
2023,35 to 39 years,Males,7.3
2023,35 to 39 years,Females,2.2
2023,40 to 44 years,Both sexes,3.5
2023,40 to 44 years,Males,5.6
2023,40 to 44 years,Females,1.4
2023,45 to 49 years,Both sexes,4.5
2023,45 to 49 years,Males,6.0
2023,45 to 49 years,Females,3.0
2023,50 to 54 years,Both sexes,4.6
2023,50 to 54 years,Males,6.8
2023,50 to 54 years,Females,2.5
2023,55 to 59 years,Both sexes,5.1
2023,55 to 59 years,Males,8.3
2023,55 to 59 years,Females,1.9
2023,60 to 64 years,Both sexes,4.6
2023,60 to 64 years,Males,7.6
2023,60 to 64 years,Females,1.6
2023,65 to 69 years,Both sexes,4.2
2023,65 to 69 years,Males,6.0
2023,65 to 69 years,Females,2.5
2023,70 to 74 years,Both sexes,6.0
2023,70 to 74 years,Males,7.1
2023,70 to 74 years,Females,5.0
2023,75 to 79 years,Both sexes,5.8
2023,75 to 79 years,Males,7.1
2023,75 to 79 years,Females,4.5
2023,80 to 84 years,Both sexes,8.8
2023,80 to 84 years,Males,11.2
2023,80 to 84 years,Females,6.9
2023,85 to 89 years,Both sexes,11.7
2023,85 to 89 years,Males,18.2
2023,85 to 89 years,Females,7.2
2023,90 years and over,Both sexes,11.5
2023,90 years and over,Males,23.0
2023,90 years and over,Females,6.2
2023,Not stated,Both sexes,0.0
2023,Not stated,Males,0.0
2023,Not stated,Females,0.0
2024,All ages,Males,6.6
2024,All ages,Females,2.4
2024,Under 1 year,Both sexes,0.8
2024,Under 1 year,Males,0.5
2024,Under 1 year,Females,1.1
2024,1 to 4 years,Both sexes,0.7
2024,1 to 4 years,Males,0.9
2024,1 to 4 years,Females,0.4
2024,5 to 9 years,Both sexes,0.7
2024,5 to 9 years,Males,0.6
2024,5 to 9 years,Females,0.7
2024,10 to 14 years,Both sexes,1.0
2024,10 to 14 years,Males,1.3
2024,10 to 14 years,Females,0.6
2024,15 to 19 years,Both sexes,5.3
2024,15 to 19 years,Males,8.3
2024,15 to 19 years,Females,2.0
2024,20 to 24 years,Both sexes,5.9
2024,20 to 24 years,Males,7.9
2024,20 to 24 years,Females,3.8
2024,25 to 29 years,Both sexes,4.8
2024,25 to 29 years,Males,6.8
2024,25 to 29 years,Females,2.5
2024,30 to 34 years,Both sexes,4.7
2024,30 to 34 years,Males,6.4
2024,30 to 34 years,Females,2.9
2024,35 to 39 years,Both sexes,4.0
2024,35 to 39 years,Males,6.3
2024,35 to 39 years,Females,1.6
2024,40 to 44 years,Both sexes,4.4
2024,40 to 44 years,Males,6.3
2024,40 to 44 years,Females,2.4
2024,45 to 49 years,Both sexes,4.0
2024,45 to 49 years,Males,6.2
2024,45 to 49 years,Females,1.9
2024,50 to 54 years,Both sexes,5.0
2024,50 to 54 years,Males,8.5
2024,50 to 54 years,Females,1.6
2024,55 to 59 years,Both sexes,4.4
2024,55 to 59 years,Males,7.2
2024,55 to 59 years,Females,1.6
2024,60 to 64 years,Both sexes,5.7
2024,60 to 64 years,Males,8.6
2024,60 to 64 years,Females,2.8
2024,65 to 69 years,Both sexes,5.2
2024,65 to 69 years,Males,7.5
2024,65 to 69 years,Females,3.1
2024,70 to 74 years,Both sexes,4.7
2024,70 to 74 years,Males,7.0
2024,70 to 74 years,Females,2.5
2024,75 to 79 years,Both sexes,6.9
2024,75 to 79 years,Males,10.5
2024,75 to 79 years,Females,3.7
2024,80 to 84 years,Both sexes,7.6
2024,80 to 84 years,Males,10.4
2024,80 to 84 years,Females,5.3
2024,85 to 89 years,Both sexes,10.6
2024,85 to 89 years,Males,16.6
2024,85 to 89 years,Females,6.4
2024,90 years and over,Both sexes,11.6
2024,90 years and over,Males,23.9
2024,90 years and over,Females,5.7
2024,Not stated,Both sexes,0.0
2024,Not stated,Males,0.0
2024,Not stated,Females,0.0
