Year,Proficiency level,Skill,Geography,Gender,Age group,GeoCode,Value
2012,3 or above,Literacy,New Brunswick,Total,16 to 24 years,13,40.6
2012,2 or below,Numeracy,New Brunswick,Total,16 to 24 years,13,67.9
2012,3 or above,Numeracy,New Brunswick,Total,16 to 24 years,13,32.1
2012,2 or below,Literacy,New Brunswick,Total,25 to 34 years,13,38.2
2012,3 or above,Literacy,New Brunswick,Total,25 to 34 years,13,61.8
2012,2 or below,Numeracy,New Brunswick,Total,25 to 34 years,13,50.8
2012,3 or above,Numeracy,New Brunswick,Total,25 to 34 years,13,49.2
2012,2 or below,Literacy,New Brunswick,Total,35 to 44 years,13,43.1
2012,3 or above,Literacy,New Brunswick,Total,35 to 44 years,13,56.9
2012,2 or below,Numeracy,New Brunswick,Total,35 to 44 years,13,55.7
2012,3 or above,Numeracy,New Brunswick,Total,35 to 44 years,13,44.3
2012,2 or below,Literacy,New Brunswick,Total,45 to 54 years,13,57.5
2012,3 or above,Literacy,New Brunswick,Total,45 to 54 years,13,42.5
2012,2 or below,Numeracy,New Brunswick,Total,45 to 54 years,13,64.1
2012,3 or above,Numeracy,New Brunswick,Total,45 to 54 years,13,35.9
2012,2 or below,Literacy,New Brunswick,Total,55 to 65 years,13,64.4
2012,3 or above,Literacy,New Brunswick,Total,55 to 65 years,13,35.6
2012,2 or below,Numeracy,New Brunswick,Total,55 to 65 years,13,73.2
2012,3 or above,Numeracy,New Brunswick,Total,55 to 65 years,13,26.8
2012,2 or below,Literacy,New Brunswick,Men+,Total,13,53.8
2012,3 or above,Literacy,New Brunswick,Men+,Total,13,46.2
2012,2 or below,Numeracy,New Brunswick,Men+,Total,13,58.1
2012,3 or above,Numeracy,New Brunswick,Men+,Total,13,41.9
2012,2 or below,Literacy,New Brunswick,Men+,16 to 24 years,13,62.5
2012,3 or above,Literacy,New Brunswick,Men+,16 to 24 years,13,37.5
2012,2 or below,Numeracy,New Brunswick,Men+,16 to 24 years,13,67.7
2012,3 or above,Numeracy,New Brunswick,Men+,16 to 24 years,13,32.3
2012,2 or below,Literacy,New Brunswick,Men+,25 to 34 years,13,34.4
2012,3 or above,Literacy,New Brunswick,Men+,25 to 34 years,13,65.6
2012,2 or below,Numeracy,New Brunswick,Men+,25 to 34 years,13,40.2
2012,3 or above,Numeracy,New Brunswick,Men+,25 to 34 years,13,59.8
2012,2 or below,Literacy,New Brunswick,Men+,35 to 44 years,13,42.4
2012,3 or above,Literacy,New Brunswick,Men+,35 to 44 years,13,57.6
2012,2 or below,Numeracy,New Brunswick,Men+,35 to 44 years,13,48.4
2012,3 or above,Numeracy,New Brunswick,Men+,35 to 44 years,13,51.6
2012,2 or below,Literacy,New Brunswick,Men+,45 to 54 years,13,62.5
2012,3 or above,Literacy,New Brunswick,Men+,45 to 54 years,13,37.5
2012,2 or below,Numeracy,New Brunswick,Men+,45 to 54 years,13,64.0
2012,3 or above,Numeracy,New Brunswick,Men+,45 to 54 years,13,36.0
2012,2 or below,Literacy,New Brunswick,Men+,55 to 65 years,13,62.0
2012,3 or above,Literacy,New Brunswick,Men+,55 to 65 years,13,38.0
2012,2 or below,Numeracy,New Brunswick,Men+,55 to 65 years,13,65.9
2012,3 or above,Numeracy,New Brunswick,Men+,55 to 65 years,13,34.1
2012,2 or below,Literacy,New Brunswick,Women+,Total,13,53.1
2012,3 or above,Literacy,New Brunswick,Women+,Total,13,46.9
2012,2 or below,Numeracy,New Brunswick,Women+,Total,13,67.9
2012,3 or above,Numeracy,New Brunswick,Women+,Total,13,32.1
2012,2 or below,Literacy,New Brunswick,Women+,16 to 24 years,13,56.1
2012,3 or above,Literacy,New Brunswick,Women+,16 to 24 years,13,43.9
2012,2 or below,Numeracy,New Brunswick,Women+,16 to 24 years,13,68.1
2012,3 or above,Numeracy,New Brunswick,Women+,16 to 24 years,13,31.9
2012,2 or below,Literacy,New Brunswick,Women+,25 to 34 years,13,41.7
2012,3 or above,Literacy,New Brunswick,Women+,25 to 34 years,13,58.3
2012,2 or below,Numeracy,New Brunswick,Women+,25 to 34 years,13,60.8
2012,3 or above,Numeracy,New Brunswick,Women+,25 to 34 years,13,39.2
2012,2 or below,Literacy,New Brunswick,Women+,35 to 44 years,13,43.9
2012,3 or above,Literacy,New Brunswick,Women+,35 to 44 years,13,56.1
2012,2 or below,Numeracy,New Brunswick,Women+,35 to 44 years,13,62.9
2012,3 or above,Numeracy,New Brunswick,Women+,35 to 44 years,13,37.1
2012,2 or below,Literacy,New Brunswick,Women+,45 to 54 years,13,52.7
2012,3 or above,Literacy,New Brunswick,Women+,45 to 54 years,13,47.3
2012,2 or below,Numeracy,New Brunswick,Women+,45 to 54 years,13,64.1
2012,3 or above,Numeracy,New Brunswick,Women+,45 to 54 years,13,35.9
2012,2 or below,Literacy,New Brunswick,Women+,55 to 65 years,13,66.8
2012,3 or above,Literacy,New Brunswick,Women+,55 to 65 years,13,33.2
2012,2 or below,Numeracy,New Brunswick,Women+,55 to 65 years,13,80.1
2012,3 or above,Numeracy,New Brunswick,Women+,55 to 65 years,13,19.9
2012,2 or below,Literacy,Quebec,Total,Total,24,53.2
2012,3 or above,Literacy,Quebec,Total,Total,24,46.8
