Year,Type of institution attended,Geography,Age group,GeoCode,Value
2017/2018,Total participation rate,Prince Edward Island,25 to 29 years,11,9
2017/2018,College,Prince Edward Island,25 to 29 years,11,2
2017/2018,University,Prince Edward Island,25 to 29 years,11,7
2017/2018,Total participation rate,Nova Scotia,15 to 19 years,12,85
2017/2018,Elementary/High School,Nova Scotia,15 to 19 years,12,65
2017/2018,College,Nova Scotia,15 to 19 years,12,5
2017/2018,University,Nova Scotia,15 to 19 years,12,14
2017/2018,Total participation rate,Nova Scotia,20 to 24 years,12,39
2017/2018,College,Nova Scotia,20 to 24 years,12,12
2017/2018,University,Nova Scotia,20 to 24 years,12,26
2017/2018,Total participation rate,Nova Scotia,25 to 29 years,12,12
2017/2018,College,Nova Scotia,25 to 29 years,12,3
2017/2018,University,Nova Scotia,25 to 29 years,12,9
2017/2018,Total participation rate,New Brunswick,15 to 19 years,13,81
2017/2018,Elementary/High School,New Brunswick,15 to 19 years,13,61
2017/2018,College,New Brunswick,15 to 19 years,13,5
2017/2018,University,New Brunswick,15 to 19 years,13,15
2017/2018,Total participation rate,New Brunswick,20 to 24 years,13,29
2017/2018,College,New Brunswick,20 to 24 years,13,9
2017/2018,University,New Brunswick,20 to 24 years,13,20
2017/2018,Total participation rate,New Brunswick,25 to 29 years,13,8
2017/2018,College,New Brunswick,25 to 29 years,13,3
2017/2018,University,New Brunswick,25 to 29 years,13,5
2017/2018,Total participation rate,Quebec,15 to 19 years,24,85
2017/2018,Elementary/High School,Quebec,15 to 19 years,24,49
2017/2018,College,Quebec,15 to 19 years,24,30
2017/2018,University,Quebec,15 to 19 years,24,5
2017/2018,Total participation rate,Quebec,20 to 24 years,24,48
2017/2018,Elementary/High School,Quebec,20 to 24 years,24,3
2017/2018,College,Quebec,20 to 24 years,24,13
2017/2018,University,Quebec,20 to 24 years,24,32
2017/2018,Total participation rate,Quebec,25 to 29 years,24,14
2017/2018,Elementary/High School,Quebec,25 to 29 years,24,1
2017/2018,College,Quebec,25 to 29 years,24,2
2017/2018,University,Quebec,25 to 29 years,24,11
2017/2018,Total participation rate,Ontario,15 to 19 years,35,86
2017/2018,Elementary/High School,Ontario,15 to 19 years,35,61
2017/2018,College,Ontario,15 to 19 years,35,8
