Year,Géographie,Type de matières récupérées,Sources des matières préparées en vue du recyclage,GeoCode,Value
2018,Nouveau-Brunswick,Textiles,Sources des matières non résidentielles récupérées,13,0.0
2018,Nouveau-Brunswick,Pneus,Toutes les sources des matières récupérées,13,14.0753305983021
2018,Nouveau-Brunswick,Pneus,Sources des matières résidentielles récupérées,13,
2018,Nouveau-Brunswick,Pneus,Sources des matières non résidentielles récupérées,13,
2018,Nouveau-Brunswick,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,13,14.0376925542864
2018,Nouveau-Brunswick,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,13,0.830632695519905
2018,Nouveau-Brunswick,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,13,13.2070598587665
2018,Nouveau-Brunswick,Toutes les matières organiques,Toutes les sources des matières récupérées,13,122.337919550628
2018,Nouveau-Brunswick,Toutes les matières organiques,Sources des matières résidentielles récupérées,13,
2018,Nouveau-Brunswick,Toutes les matières organiques,Sources des matières non résidentielles récupérées,13,
2018,Nouveau-Brunswick,Déchets de nourriture et matières organiques séparées à la source,Toutes les sources des matières récupérées,13,
2018,Nouveau-Brunswick,Déchets de nourriture et matières organiques séparées à la source,Sources des matières résidentielles récupérées,13,
2018,Nouveau-Brunswick,Déchets de nourriture et matières organiques séparées à la source,Sources des matières non résidentielles récupérées,13,
2018,Nouveau-Brunswick,Feuilles et résidus de jardin,Toutes les sources des matières récupérées,13,21.3044307764988
2018,Nouveau-Brunswick,Feuilles et résidus de jardin,Sources des matières résidentielles récupérées,13,
2018,Nouveau-Brunswick,Feuilles et résidus de jardin,Sources des matières non résidentielles récupérées,13,
2018,Nouveau-Brunswick,Autres matières organiques,Toutes les sources des matières récupérées,13,
2018,Nouveau-Brunswick,Autres matières organiques,Sources des matières résidentielles récupérées,13,
2018,Nouveau-Brunswick,Autres matières organiques,Sources des matières non résidentielles récupérées,13,
2018,Nouveau-Brunswick,Autres matières,Toutes les sources des matières récupérées,13,5.26024111709715
2018,Nouveau-Brunswick,Autres matières,Sources des matières résidentielles récupérées,13,4.7878187715202
2018,Nouveau-Brunswick,Autres matières,Sources des matières non résidentielles récupérées,13,0.472422345576946
2018,Québec,Toutes les matières,Toutes les sources des matières récupérées,24,299.482374464808
2018,Québec,Toutes les matières,Sources des matières résidentielles récupérées,24,
2018,Québec,Toutes les matières,Sources des matières non résidentielles récupérées,24,
2018,Québec,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,24,131.156125748201
2018,Québec,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,24,62.8357075175472
2018,Québec,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,24,68.3204182306538
2018,Québec,Verre,Toutes les sources des matières récupérées,24,6.92349341256435
2018,Québec,Verre,Sources des matières résidentielles récupérées,24,5.36547787151731
2018,Québec,Verre,Sources des matières non résidentielles récupérées,24,1.55801554104704
2018,Québec,Métaux ferreux,Toutes les sources des matières récupérées,24,37.7014245105283
2018,Québec,Métaux ferreux,Sources des matières résidentielles récupérées,24,4.65008082198167
2018,Québec,Métaux ferreux,Sources des matières non résidentielles récupérées,24,33.0513436885466
2018,Québec,Cuivre et aluminium,Toutes les sources des matières récupérées,24,6.29549403591365
2018,Québec,Cuivre et aluminium,Sources des matières résidentielles récupérées,24,
2018,Québec,Cuivre et aluminium,Sources des matières non résidentielles récupérées,24,6.29549403591365
2018,Québec,Métaux mélangés,Toutes les sources des matières récupérées,24,0.0
2018,Québec,Métaux mélangés,Sources des matières résidentielles récupérées,24,0.0
