Year,Type de patrimoine,Niveau de gouvernement,Géographie,GeoCode,Value
2017,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Territoires du Nord-Ouest,61,291.1143
2017,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Territoires du Nord-Ouest,61,201.54067
2017,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Nunavut,62,159.33716
2017,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Nunavut,62,663.90482
2018,Préservation de la diversité biologique et protection de la nature,Administration publique générale canadienne consolidée,Canada,,45.74805
2018,Services culturels,Administration publique générale canadienne consolidée,Canada,,170.31437
2018,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Canada,,36.60383
2018,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Canada,,108.89438
2018,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Terre-Neuve-et-Labrador,10,11.35499
2018,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Terre-Neuve-et-Labrador,10,85.16243
2018,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Île-du-Prince-Édouard,11,13.13551
2018,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Île-du-Prince-Édouard,11,91.94859
2018,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Nouvelle-Écosse,12,37.41924
2018,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Nouvelle-Écosse,12,60.28655
2018,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Nouveau-Brunswick,13,24.65941
2018,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Nouveau-Brunswick,13,84.36113
2018,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Québec,24,6.55781
2018,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Québec,24,149.87568
2018,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Ontario,35,55.97922
2018,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Ontario,35,99.32472
2018,Préservation de la diversité biologique et protection de la nature,Administrations publiques provinciales-territoriales et locales consolidées,Manitoba,46,25.13516
2018,Services culturels,Administrations publiques provinciales-territoriales et locales consolidées,Manitoba,46,120.5009
